stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,geometry,neighbourhood
02024,Yonge St. @ Glen Cameron Rd.,43.8051033,-79.42171479999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02024,0,1,POINT (-79.42171479999998 43.8051033),
02023,Yonge St. @ Glen Cameron Rd.,43.8057404,-79.42220309999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02023,0,2,POINT (-79.42220309999998 43.8057404),
02021,Yonge St. @ Garden Ave.,43.83845520000001,-79.42977909999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02021,0,1,POINT (-79.42977909999998 43.83845520000001),
02018,Yonge St. @ Elgin St.,43.810688,-79.4231033,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02018,0,1,POINT (-79.42310329999999 43.810688),
02012,Yonge St. @ Doncaster Ave.,43.8016968,-79.4208908,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02012,0,1,POINT (-79.4208908 43.8016968),
02004,Yonge St. @ Clark Ave. W.,43.807312,-79.4226227,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02004,0,1,POINT (-79.42262270000001 43.807312),
01998,Yonge St. @ Centre St.,43.8164711,-79.4247208,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01998,0,1,POINT (-79.4247208 43.8164711),
01997,Yonge St. @ Bunker Rd.,43.8288956,-79.42729190000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01997,0,1,POINT (-79.42729190000001 43.8288956),
01996,Yonge St. @ Bunker Rd.,43.8289528,-79.4275894,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01996,0,1,POINT (-79.4275894 43.8289528),
01987,Yonge St. @ Bay Thorn Dr.,43.8248672,-79.42629240000002,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01987,0,1,POINT (-79.42629240000002 43.8248672),
01905,Langstaff Rd. E. @ Bayview Ave.,43.8346367,-79.4062042,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01905,0,2,POINT (-79.4062042 43.8346367),
01803,Bayview Ave. @ Langstaff Rd. E.,43.8349037,-79.4053802,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01803,0,2,POINT (-79.4053802 43.8349037),
01729,Trafalgar Rd. @ Leighland Ave.,43.4647789,-79.68802640000001,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01729,0,2,POINT (-79.68802640000001 43.4647789),
01727,Trafalgar Rd. @ White Oaks Blvd.,43.46668620000001,-79.6899948,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01727,0,1,POINT (-79.68999479999999 43.46668620000001),
01662,Yonge St. @ Greenfield Ave.,43.7631454,-79.4112015,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01662,0,1,POINT (-79.4112015 43.7631454),Willowdale East
01661,Yonge St. @ Finch Ave.,43.7804375,-79.4156036,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01661,0,1,POINT (-79.4156036 43.7804375),Newtonbrook East
01660,Yonge St. @ Empress Ave.,43.7691803,-79.41265870000002,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01660,0,2,POINT (-79.41265870000002 43.7691803),Willowdale East
01657,Yonge St. @ William Carson Cr.,43.7471085,-79.4072647,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01657,0,1,POINT (-79.4072647 43.7471085),St.Andrew-Windfields
01655,Yonge St. @ Norton Ave.,43.7721901,-79.41342159999998,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01655,0,2,POINT (-79.41342159999998 43.7721901),Willowdale East
01654,Yonge St. @ Ellerslie Ave.,43.7724152,-79.4139328,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01654,0,1,POINT (-79.4139328 43.7724152),Willowdale West
01653,Yonge St. @ Elmwood Ave.,43.7664719,-79.4120407,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01653,0,1,POINT (-79.41204070000001 43.7664719),Willowdale East
01652,Yonge St. @ Madawaska Ave.,43.7941246,-79.41896820000002,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01652,0,1,POINT (-79.41896820000002 43.7941246),Newtonbrook East
01651,Yonge St. @ Kempford Blvd.,43.77715300000001,-79.4150925,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01651,0,1,POINT (-79.4150925 43.77715300000001),Willowdale West
01650,Yonge St. @ Northtown Way,43.7753067,-79.4142609,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01650,0,1,POINT (-79.4142609 43.7753067),Willowdale East
01648,Yonge St. @ Glendora Ave.,43.7586899,-79.41004179999999,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01648,0,2,POINT (-79.41004179999999 43.7586899),Willowdale East
01647,Yonge St. @ Florence Ave.,43.7582703,-79.41023249999998,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01647,0,1,POINT (-79.41023249999998 43.7582703),Lansing-Westgate
01646,Yonge St. @ Drewry Ave.,43.7871094,-79.41750340000002,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01646,0,2,POINT (-79.41750340000002 43.7871094),Newtonbrook West
01645,Yonge St. @ Cummer Ave.,43.7875671,-79.4172745,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01645,0,1,POINT (-79.4172745 43.7875671),Newtonbrook East
01644,Yonge St. @ Churchill Ave.,43.77417370000001,-79.4143219,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01644,0,1,POINT (-79.4143219 43.77417370000001),Willowdale West
01402,Regional Rd. 50 @ Countryside Dr.,43.8368378,-79.6890564,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01402,0,2,POINT (-79.6890564 43.8368378),
01398,Hwy. 50 @ Cottrelle Blvd.,43.78421,-79.65847,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01398,0,1,POINT (-79.65846999999999 43.78421),
01394,Albion Rd. @ Steeles Ave. W.,43.7499313,-79.639595,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01394,0,2,POINT (-79.639595 43.7499313),
01393,Albion Rd. @ Steeles Ave. W.,43.7503242,-79.63935090000003,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01393,0,2,POINT (-79.63935090000003 43.7503242),
01363,Rathburn Rd. W. @ Elora Dr.,43.5863609,-79.6529465,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01363,0,2,POINT (-79.6529465 43.5863609),
