lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc,neighbourhood,geometry,dist_nearest_park
43.76442520000001,-79.4962737,1100.0,1,29958,0,3,2,395000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4962737 43.76442520000001),124.52
43.7645868,-79.4919359,950.0,1,29958,0,2,1,368000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4919359 43.7645868),184.09
43.7645868,-79.4919359,1300.0,1,29958,0,3,2,467000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4919359 43.7645868),184.09
43.7645868,-79.4919359,1300.0,1,29958,0,3,2,430000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4919359 43.7645868),184.09
43.7645868,-79.4919359,1300.0,1,29958,0,3,2,450000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.4919359 43.7645868),184.09
43.7652367,-79.50043509999998,1300.0,1,29958,1,4,4,620000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.50043509999998 43.7652367),239.61
43.7652815,-79.5022343,2750.0,1,29958,3,9,9,1080000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.5022343 43.7652815),250.37
43.76533999999999,-79.4931841,1300.0,1,29958,0,3,2,465000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.49318409999999 43.76533999999999),82.11
43.76533999999999,-79.4931841,1300.0,1,29958,0,3,2,405000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.49318409999999 43.76533999999999),82.11
43.765395899999994,-79.5034952,3250.0,2,29958,3,6,10,1150000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.5034952 43.76539589999999),211.21
