stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
01230,Duke of York Blvd. @ Princess Royal Dr.,43.5899925,-79.6446991,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01230,0,1
01192,Creditview Rd. @ Rathkeale Rd.,43.5761566,-79.68268590000001,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01192,0,1
01191,Creditview Rd. @ Eglinton Ave.,43.577282000000004,-79.6845093,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01191,0,2
01165,Bramalea Rd. @ Dearbourne Blvd.,43.7092781,-79.6968994,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01165,0,1
01160,Bramalea Rd. @ Avondale Blvd.,43.7094116,-79.6974106,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01160,0,1
00969,Hwy. 50 @ Trade Valley Dr.,43.792137100000005,-79.6624756,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00969,0,1
00968,Hwy 50 @ Bellchase Trail,43.792133299999996,-79.6630402,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00968,0,1
00963,Regional Rd. 50 @ Rutherford Rd.,43.8034859,-79.6692581,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00963,0,1
00962,Hwy. 50 @ Langstaff Rd.,43.78563,-79.65879,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00962,0,1
00939,Sheridan College,43.46980670000001,-79.6977158,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00939,0,1
00902,Trafalgar Rd. @ Iroquois Shore Rd.,43.4648666,-79.6877365,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00902,0,2
00736,Finch Bus Terminal,43.7819481,-79.4159088,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00736,0,1
00723,McCowan Rd. @ Triton Rd.,43.7755547,-79.2528763,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00723,0,1
00722,McCowan Rd. @ Progress Ave.,43.776470200000006,-79.2527542,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00722,0,1
00358,Centennial College,43.7854233,-79.2290802,89,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00358,0,1
00340,Hwy. 50 @ Queen St. E.,43.767345399999996,-79.6489105,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00340,0,1
00339,Regional Rd. 50 @ Nashville Rd.,43.836013799999996,-79.6881485,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00339,0,2
00300,Yonge St. @ North York Blvd.,43.7668343,-79.412468,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00300,0,1
00299,Yonge St. @ Elmhurst Ave.,43.7634468,-79.4115524,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00299,0,2
00242,Finch Ave. W. @ Darcel Ave.,43.7335091,-79.6343002,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00242,0,2
00241,Finch Ave. W. @ Longo Circle,43.7334518,-79.6333313,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00241,0,2
00228,Malton GO Bus,43.705143,-79.637825,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00228,0,1
00189,Erindale GO Bus,43.567861,-79.667632,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00189,0,1
00187,Dixie GO Bus,43.608022,-79.578347,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00187,0,1
00182,Port Credit GO Bus,43.555814,-79.587088,10,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00182,0,1
00181,Clarkson GO Bus,43.512831,-79.63310899999999,12,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00181,0,1
00142,Scarborough Centre Bus Terminal,43.77484129999999,-79.2563171,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00142,0,1
00137,Oakville GO Bus,43.455966,-79.681676,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00137,0,1
00133,Square One,43.5946693,-79.6474915,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00133,0,1
00132,Square One,43.5945549,-79.6475983,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00132,0,1
00131,Langstaff Rd. E. @ Yonge St.,43.832698799999996,-79.427536,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00131,0,2
00130,Langstaff Rd. E. @ Yonge St.,43.832588200000004,-79.4272537,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00130,0,2
00079,Yonge St. @ North York Blvd. (Mel Lastman Square),43.768100700000005,-79.4128571,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00079,0,1
00074,Yonge St. @ Steeles Ave. W.,43.7986336,-79.4200897,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00074,0,2
00073,Yonge St. @ Steeles Ave. W.,43.7982216,-79.4202805,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00073,0,1
00061,Langstaff Rd. E. @ Cedar Ave. (Langstaff GO),43.83663,-79.42024,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00061,0,1
00060,Langstaff Rd. E. @ Cedar Ave. (Langstaff GO),43.836455,-79.420243,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00060,0,2
00028,Rutherford GO Bus,43.838582,-79.49894499999999,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00028,0,1
00022,Keele St. @ Hwy. 401,43.721675899999994,-79.48082729999999,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00022,0,2
00020,Hwy. 401 @ Keele St.,43.723239899999996,-79.4819412,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00020,0,1
00019,Yorkdale Bus Terminal,43.7249374,-79.4488754,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00019,0,1
00014,Yonge St. @ Langstaff Rd. E.,43.83232879999999,-79.42804720000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00014,0,1
00013,Finch Bus Terminal,43.7821732,-79.4150925,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00013,0,1
00011,York Mills Bus Terminal,43.745079,-79.4064636,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00011,0,1
00008,Yonge St. @ Sheppard Ave.,43.7615967,-79.41119379999999,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00008,0,1
00006,Yonge St. @ Hwy. 407,43.83198170000001,-79.4283829,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00006,0,1
