Long,Lat,OGF_ID,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,OBJECTID
-79.5679826421128,43.6448192750093,127903951,Centre for Addiction and Mental Health (CAMH),555 Burnhamthorpe Road,,Practice Location,Toronto,M9C2Y3,757681
-79.4278143978604,43.6496224823735,127903952,Centre for Addiction and Mental Health (CAMH),1364 Dundas Street West,,Practice Location,Toronto,M6J1Y2,757682
-79.25057254899241,43.7371903059521,127903953,Centre for Addiction and Mental Health (CAMH),2660 Eglinton Avenue East,,Practice Location,Toronto,M1K2S3,757683
-79.4191780945512,43.643312381666206,127903954,Centre for Addiction and Mental Health (CAMH),100 Stokes Street,Bell Gateway Building,Practice Location,Toronto,M6J1H4,757684
-79.41750719405029,43.6436756818075,127903955,Centre for Addiction and Mental Health (CAMH),80 Workman Way,Intergeneration Wellness Centre,Practice Location,Toronto,M6J1H4,757685
-79.5620426370928,43.609406569069904,127903967,Trillium Health Partners,150 Sherway Drive,4th Floor,Practice Location,Toronto,M9C1A5,757696
-79.44813611520121,43.7724535029575,127903968,North York General Hospital,555 Finch Avenue West,,Administration and Practice Location,Toronto,M2K1N5,757697
-79.3625071875978,43.769488106423,127903969,North York General Hospital,4001 Leslie Street,,Administration and Practice Location,Toronto,M2K1E1,757698
-79.3597580870577,43.77330740721929,127903970,North York General Hospital,10 Buchan Court,,Practice Location,Toronto,M2J5A3,757699
-79.3662234843748,43.719576297506,127903973,Bellwood Health Services Inc.,175 Brentcliffe Road,,Administration and Practice Location,Toronto,M4G0C5,757702
-79.36576587817041,43.6507611854506,127903975,Ontario Federation of Indigenous Friendship Centres,219 Front Street East,,Administrative Office,Toronto,M5A1E8,757704
-79.38747048548579,43.6552174852276,127903957,Madison Community Services,210 Dundas Street West,Suite 400,Administration and Practice Location,Toronto,M5G2E8,757722
-79.3999301939919,43.7066471936742,127903995,Mood Disorders Association of Ontario,36 Eglinton Avenue West,Suite 602,Administration and Practice Location,Toronto,M4R1A1,757725
-79.3106633637382,43.686633994301395,127904306,A-Way Express Courier Service,2168 Danforth Avenue,,Administration and Practice Location,Toronto,M4C1K3,757744
-79.4816597164249,43.6654562826505,127904307,Cross Toronto Community Development Corporation,3345 Dundas Street West,,Administration and Practice Location,Toronto,M6P2A6,757745
-79.4323948982771,43.6377613800779,127904321,Regeneration House Inc.,1335 King Street West,,Practice Location,Toronto,M6K1H2,757759
-79.47298121590259,43.6908714875119,127904322,Regeneration House Inc.,2600 Eglinton Avenue West,,Practice Location,Toronto,M6M1T5,757760
-79.4514901058278,43.654368482107294,127904323,Regeneration House Inc.,2238 Dundas Street West,Suite 307,Administration and Practice Location,Toronto,M6R3A9,757761
-79.43242299963491,43.6530847827676,127904324,Regeneration House Inc.,739 Dufferin Street,The Oakwood ARCH,Practice Location,Toronto,M6H3K5,757762
-79.51200852905991,43.6989193871049,127904325,Regeneration House Inc.,1765 Weston Road,,Practice Location,Toronto,M9N3P7,757763
-79.52360272795609,43.644637577045295,127904326,Regeneration House Inc.,37 Islington Avenue,Suite 24,Practice Location,Toronto,M9W3X9,757764
-79.42979909733721,43.6364851799742,127904327,Regeneration House Inc.,63 Spencer Avenue,Suite A,Practice Location,Toronto,M6K2J7,757765
