_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,LATITUDE,LONGITUDE,geometry
29988,1012,5145355,ST TIMOTHY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,25 ROCHELLE CRES,English Separate,5145355,25,Rochelle Cres,25 Rochelle Cres,M2J 1Y3,North York,Toronto,St. Timothy Catholic School,43.7749386525,-79.351038234,"{u'type': u'Point', u'coordinates': (-79.351038234, 43.7749386525)}"
29990,1014,307269,ST VICTOR CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,20 BERNADINE ST,English Separate,307269,20,Bernadine St,20 Bernadine St,M1P 4M2,Scarborough,Toronto,St. Victor Catholic School,43.7690571563,-79.2591053695,"{u'type': u'Point', u'coordinates': (-79.2591053695, 43.7690571563)}"
29991,1015,804845,ST VINCENT DE PAUL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,116 FERMANAGH AVE,English Separate,804845,116,Fermanagh Ave,116 Fermanagh Ave,M6R 1M2,former Toronto,Toronto,St. Vincent De Paul Catholic School,43.6468292694,-79.4479230169,"{u'type': u'Point', u'coordinates': (-79.4479230169, 43.6468292694)}"
29992,1016,11574893,ST WILFRID CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,1685 FINCH AVE W,English Separate,11574893,1685,Finch Ave W,1685 Finch Ave W,M3J 2G8,North York,Toronto,Saint Wilfrid Catholic School,43.7600459464,-79.5025941161,"{u'type': u'Point', u'coordinates': (-79.5025941161, 43.7600459464)}"
29993,1017,20200382,STANLEY PUBLIC SCHOOL,Toronto District School Board,75 STANLEY RD,English Public,20200382,75,Stanley Rd,75 Stanley Rd,M3N 1C2,North York,Toronto,Stanley Public School,43.7418311838,-79.5178270423,"{u'type': u'Point', u'coordinates': (-79.5178270423, 43.7418311838)}"
29994,1018,9467757,STEELESVIEW PUBLIC SCHOOL,Toronto District School Board,105 BESTVIEW DR,English Public,9467757,105,Bestview Dr,105 Bestview Dr,M2M 2Y1,North York,Toronto,Steelesview Public School,43.8026660883,-79.3856328581,"{u'type': u'Point', u'coordinates': (-79.3856328581, 43.8026660883)}"
29995,1019,9780035,STELLA MARIS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,31 ASCOT AVE,English Separate,9780035,31,Ascot Ave,31 Ascot Ave,M6E 1E6,former Toronto,Toronto,Stella Maris Catholic School,43.6796259815,-79.4448952342,"{u'type': u'Point', u'coordinates': (-79.4448952342, 43.6796259815)}"
29996,1020,9668671,STEPHEN LEACOCK COLLEGIATE INSTITUTE,Toronto District School Board,2450 BIRCHMOUNT RD,English Public,9668671,2450,Birchmount Rd,2450 Birchmount Rd,M1T 2M5,Scarborough,Toronto,Stephen Leacock Collegiate Institute - Building Grounds,43.7851820434,-79.3021342614,"{u'type': u'Point', u'coordinates': (-79.3021342614, 43.7851820434)}"
29997,1021,7522835,STILECROFT PUBLIC SCHOOL,Toronto District School Board,50 STILECROFT DR,English Public,7522835,50,Stilecroft Dr,50 Stilecroft Dr,M3J 1A7,North York,Toronto,Stilecroft Public School,43.7510558213,-79.4932050987,"{u'type': u'Point', u'coordinates': (-79.4932050987, 43.7510558213)}"
29998,1022,853872,SUBWAY ACADEMY ONE,Toronto District School Board,16 PHIN AVE,English Public,853872,16,Phin Ave,16 Phin Ave,M4J 3T2,former Toronto,Toronto,Eastern High School Of Commerce,43.6791402347,-79.3366360566,"{u'type': u'Point', u'coordinates': (-79.3366360566, 43.6791402347)}"
