Neighbourhood, Guadeloupean, Scottish, North American Aboriginal origins, First Nations (North American Indian), Inuit, Mtis, Other North American origins, Acadian, American, Canadian, New Brunswicker, Newfoundlander, Nova Scotian, Ontarian, Qubcois, Portuguese, Other North American origins; n.i.e., European origins, British Isles origins, Channel Islander, Cornish, English, Irish, Manx, Welsh, British Isles origins; n.i.e., French origins, Alsatian, Breton, Corsican, French, Western European origins (except French origins), Austrian, Bavarian, Belgian, Dutch, Flemish, Frisian, German, Luxembourger, Swiss, Western European origins; n.i.e., Northern European origins (except British Isles origins), Danish, Finnish, Icelandic, Norwegian, Swedish, Northern European origins; n.i.e., Eastern European origins, Bulgarian, Caribbean origins, Byelorussian, Czech, Czechoslovakian; n.o.s., Estonian, Hungarian, Latvian, Lithuanian, Moldovan, Polish, Romanian, Russian, Slovak, Ukrainian, Eastern European origins; n.i.e., Southern European origins, Albanian, Bosnian, Catalan, Croatian, Cypriot, Greek, Italian, Kosovar, Macedonian, Maltese, Montenegrin, Serbian, Sicilian, Slovenian, Spanish, Yugoslavian; n.o.s., Southern European origins; n.i.e., Antiguan, Other European origins, Basque, Jewish, Roma (Gypsy), Slavic; n.o.s., Other European origins; n.i.e., Bahamian, Barbadian, Bermudan, Carib, Cuban, Dominican, Grenadian, Haitian, Jamaican, Kittitian/Nevisian, Martinican, Montserratan, Puerto Rican, St. Lucian, Arawak, Trinidadian/Tobagonian, Vincentian/Grenadinian, West Indian; n.o.s., Caribbean origins; n.i.e., Latin; Central and South American origins, Aboriginal from Central/South America (except Arawak and Maya), Argentinian, Belizean, Bolivian, Brazilian, Chilean, Colombian, Costa Rican, Ecuadorian, Guatemalan, Guyanese, Hispanic, Honduran, Maya, Beninese, Mexican, Nicaraguan, Panamanian, Paraguayan, Peruvian, Salvadorean, Uruguayan, Venezuelan, Latin; Central and South American origins; n.i.e., African origins, Central and West African origins, Akan, Angolan, Ashanti, Burkinabe, Cameroonian, Chadian, Congolese, Edo, Ewe, Gabonese, Gambian, Ghanaian, Guinean, Ibo, Ivorian, Liberian, Malian, Malink, Nigerian, Peulh, Senegalese, Sierra Leonean, Togolese, Wolof, Yoruba, Central and West African origins; n.i.e., Maure, North African origins, Algerian, Berber, Coptic, Dinka, Egyptian, Libyan, Moroccan, Sudanese, Tunisian, North African origins; n.i.e., Southern and East African origins, Afrikaner, Amhara, Bantu; n.o.s., Burundian, Djiboutian, Eritrean, Ethiopian, Harari, Kenyan, Malagasy, Mauritian, Oromo, Rwandan, Seychellois, Somali, South African, Tanzanian, Tigrian, Ugandan, Zambian, Zimbabwean, Zulu, Southern and East African origins; n.i.e., Other African origins, Black; n.o.s., Other African origins; n.i.e., Asian origins, West Central Asian and Middle Eastern origins, Afghan, Arab; n.o.s., Armenian, Assyrian, Azerbaijani, Georgian, Hazara, Iranian, Hmong, Iraqi, Israeli, Jordanian, Kazakh, Kurd, Kuwaiti, Kyrgyz, Maori, Lebanese, Palestinian, Pashtun, Saudi Arabian, Syrian, Tajik, Tatar, Turk, Turkmen, Uighur, Uzbek, Yemeni, West Central Asian and Middle Eastern origins; n.i.e., South Asian origins, Bangladeshi, Bengali, Bhutanese, East Indian, Goan, Gujarati, Kashmiri, Nepali, Pakistani, Punjabi, Sinhalese, Sri Lankan, Indonesian, Tamil, South Asian origins; n.i.e., East and Southeast Asian origins, Burmese, Cambodian (Khmer), Chinese, Filipino, Japanese, Karen, Korean, Laotian, Malaysian, Mongolian, Singaporean, Taiwanese, Thai, Tibetan, Vietnamese, East and Southeast Asian origins; n.i.e., Hawaiian, Other Asian origins, Other Asian origins; n.i.e., Oceania origins, Australian, New Zealander, Pacific Islands origins, Fijian, Polynesian; n.o.s., Samoan, Pacific Islands origins; n.i.e.
Danforth East York,0,"2,840",420,320,20,100,"3,230",75,280,"2,965",0,0,10,10,0,385,0,"12,095","6,580",10,0,"3,625","3,080",0,415,660,"1,360",0,0,0,"1,365","2,125",155,0,15,550,0,10,"1,510",0,110,0,410,110,80,60,80,90,0,"1,670",180,545,10,40,0,70,190,50,20,10,415,105,315,45,500,40,"4,645",180,0,0,75,40,"2,195","1,415",0,205,25,0,185,10,55,210,50,10,0,200,0,185,0,15,0,0,115,20,10,25,0,10,10,225,0,0,0,10,0,0,35,25,70,20,485,10,10,0,0,45,45,60,0,15,0,135,25,25,0,0,75,10,0,0,20,35,0,20,20,435,35,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,80,0,0,0,0,65,0,0,0,0,0,95,0,0,0,0,0,15,40,0,10,10,0,0,0,0,10,10,0,0,0,0,0,0,30,225,20,195,"4,245",435,75,50,45,0,10,0,0,75,0,30,0,0,10,0,0,0,0,90,40,0,0,10,0,0,25,0,0,0,0,0,"1,110",40,0,0,785,0,0,0,10,230,35,0,50,0,0,95,"2,770",20,10,"1,760",505,295,0,165,20,10,0,0,15,10,0,150,0,15,0,0,50,10,0,25,10,10,0,0
Don Valley Village,0,"1,040",105,100,0,20,"1,575",0,110,"1,480",0,0,0,10,0,460,0,"7,425","2,560",0,0,"1,545","1,095",0,105,195,475,0,0,0,475,920,85,0,0,175,0,10,640,0,40,0,150,20,55,10,10,40,0,"2,545",145,"1,005",55,30,0,35,265,10,35,30,580,660,700,40,415,45,"2,260",210,0,0,95,35,415,445,0,70,10,20,175,0,40,540,40,0,15,275,0,230,10,0,35,10,110,10,10,35,10,35,15,560,0,0,0,0,0,0,170,20,25,65,720,10,10,10,0,45,55,230,10,10,10,85,0,0,10,0,75,20,10,10,60,30,25,70,30,"1,000",170,0,0,15,0,10,0,10,0,0,0,0,20,0,15,0,0,0,0,65,0,0,0,0,0,0,0,0,355,0,0,0,0,315,0,25,0,20,20,310,0,0,0,15,0,30,55,25,40,0,10,0,0,0,30,40,0,0,0,10,20,0,80,195,25,175,"17,955","4,460",455,255,730,10,60,10,20,"2,100",0,185,35,20,25,90,0,0,0,250,55,35,0,215,0,20,150,15,15,0,10,145,"2,945",130,20,0,"2,135",20,0,0,30,215,40,20,325,45,35,75,"10,660",10,0,"7,390","2,245",160,0,875,0,85,10,0,65,30,0,140,30,0,30,20,10,0,0,0,0,0,0,0
Dorset Park,0,960,285,225,0,65,"2,600",0,115,"2,505",0,10,10,0,0,250,0,"5,445","2,350",0,0,"1,365",880,0,35,140,525,0,0,0,520,580,55,0,10,160,0,0,370,0,25,10,125,35,40,0,35,35,0,600,30,"1,830",0,60,0,10,90,10,0,0,150,115,80,10,75,15,"2,315",105,30,0,40,20,710,625,0,180,30,0,70,0,20,475,10,0,20,35,0,15,0,0,15,0,65,20,15,10,25,65,35,965,0,15,0,0,60,0,255,60,340,45,695,50,0,0,0,10,10,30,0,0,0,435,0,0,0,0,10,0,0,10,10,65,0,40,25,"1,060",150,0,15,0,0,15,0,55,0,0,0,0,45,0,0,0,0,0,10,10,0,0,0,0,0,0,20,0,290,35,0,15,0,120,0,35,45,30,0,330,0,0,0,0,0,40,120,60,10,0,15,0,0,0,60,10,10,0,0,0,20,0,20,315,80,245,"15,965","1,875",655,95,210,10,10,0,15,190,0,35,0,10,10,30,0,0,0,505,20,0,0,85,10,0,140,0,0,0,0,70,"7,380",365,60,0,"3,355",10,15,0,70,655,50,45,"2,305",15,910,400,"6,805",0,15,"3,115","3,660",95,0,15,15,45,20,0,35,0,0,150,15,0,110,100,0,0,0,0,0,0,0,0
Dovercourt-Wallace Emerson-Junction,0,"4,295",650,535,0,170,"5,070",70,560,"4,600",0,55,0,10,40,"7,360",0,"24,280","10,065",10,0,"5,510","4,560",20,570,985,"2,215",10,0,0,"2,205","3,455",290,10,100,945,0,10,"2,275",0,170,0,775,145,180,40,240,200,40,"3,710",30,"1,600",35,150,40,50,500,95,155,0,"1,450",240,760,80,925,150,"12,080",50,10,0,155,10,730,"3,155",0,115,90,0,135,0,30,915,30,0,0,675,10,535,30,0,105,25,85,10,15,110,75,130,30,715,0,0,0,10,0,10,240,45,220,135,"2,205",105,75,0,0,405,120,150,10,375,60,255,35,10,0,0,270,80,0,0,110,230,10,50,75,"1,440",220,10,40,0,0,10,0,0,20,10,0,0,35,0,0,0,0,0,0,45,0,15,0,0,0,0,35,0,135,10,0,0,0,55,35,30,20,10,10,605,0,0,0,0,20,80,195,0,10,0,0,0,45,0,120,95,10,10,35,0,10,0,35,500,55,450,"8,760",895,45,55,60,0,0,0,0,225,0,50,120,10,30,25,10,0,0,80,55,10,0,30,0,0,215,0,0,0,10,25,"2,390",130,125,0,"1,485",15,10,0,10,240,45,25,225,55,55,150,"5,635",70,35,"3,315",745,280,15,460,20,75,10,0,40,15,50,875,10,0,10,20,140,75,25,25,20,0,0,0
Downsview-Roding-CFB,0,"1,005",395,365,0,30,"2,640",10,175,"2,515",0,10,0,0,10,"1,820",0,"15,615","2,765",0,0,"1,535",900,0,35,180,750,0,0,0,745,760,70,0,0,185,0,10,540,0,10,10,170,20,75,0,20,50,10,"1,430",10,"3,830",10,45,10,10,350,20,10,0,390,160,280,20,255,10,"11,710",115,10,0,195,0,340,"8,205",0,20,20,0,10,0,40,"1,490",10,0,10,260,0,135,85,0,35,0,110,10,35,100,150,170,55,"2,350",10,0,10,10,180,0,260,250,250,200,"3,955",130,245,0,60,135,310,455,75,620,285,375,60,55,25,10,330,80,20,30,220,575,65,15,215,"2,120",725,20,10,10,0,25,15,10,0,0,0,0,365,0,40,0,0,0,0,185,0,0,35,30,0,35,10,0,100,20,25,0,0,35,0,40,10,10,0,515,0,0,0,0,0,95,120,0,45,0,0,25,0,0,205,0,20,0,0,0,0,20,30,780,130,645,"11,365","1,525",140,130,20,80,0,0,0,140,0,115,10,20,0,245,0,0,0,140,10,0,0,40,0,10,490,15,0,15,0,65,"1,685",65,10,0,"1,265",0,0,0,0,150,0,15,130,20,40,60,"8,230",35,195,"1,650","4,790",85,0,145,45,25,0,0,0,30,0,"1,950",0,0,35,35,0,0,0,0,0,0,0,0
Dufferin Grove,0,"1,720",235,195,0,50,"1,870",10,160,"1,695",0,20,0,0,20,"2,215",0,"8,225","3,575",0,0,"1,875","1,605",0,230,375,940,20,0,0,910,"1,245",105,0,40,290,0,10,800,0,55,0,265,65,35,0,80,75,35,"1,715",50,500,35,75,0,20,175,45,105,0,675,95,415,55,435,30,"3,555",10,30,10,135,0,100,740,0,40,35,0,50,0,40,385,30,0,10,290,0,240,0,0,35,15,80,10,0,25,0,15,20,215,10,0,0,0,10,0,80,0,30,20,650,30,10,0,0,160,60,55,0,25,0,70,0,0,20,15,135,10,0,0,45,0,10,15,35,475,95,0,15,0,0,0,0,10,0,0,0,0,25,0,0,0,0,0,0,30,0,0,0,0,0,0,10,0,120,35,15,0,0,50,0,20,10,0,10,130,0,0,10,0,0,20,30,0,20,0,0,0,0,0,10,10,35,0,0,0,0,0,25,150,0,150,"2,595",310,20,0,30,0,10,10,0,70,0,10,20,10,0,0,0,0,0,80,15,10,0,35,0,10,35,0,0,0,0,0,750,30,75,0,485,0,0,0,10,70,15,0,75,0,0,30,"1,600",15,10,920,195,95,0,130,0,20,0,0,10,0,45,260,10,0,0,0,30,20,10,0,0,0,0,0
East End-Danforth,0,"4,495",610,485,0,135,"4,565",50,335,"4,240",10,10,20,25,20,425,0,"14,325","10,480",0,0,"5,915","4,915",20,660,795,"2,060",10,0,0,"2,065","2,825",240,0,65,600,0,0,"2,055",0,70,10,675,120,175,45,200,200,20,"2,295",60,960,45,90,10,45,260,85,30,10,890,285,330,80,565,40,"2,870",0,25,0,85,0,360,"1,275",0,75,80,0,115,60,25,520,35,10,15,215,10,110,10,0,90,0,75,35,15,30,10,85,10,475,0,0,0,20,0,0,115,25,110,55,645,40,35,0,10,65,15,40,20,15,0,230,10,0,0,0,75,10,10,0,30,10,0,60,10,845,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,135,30,0,0,0,55,0,30,20,15,0,365,0,0,0,0,0,15,135,10,10,0,10,0,10,0,90,80,15,0,15,0,0,0,20,345,55,305,"5,205",750,55,50,30,10,0,20,0,175,0,10,10,30,0,35,0,0,10,115,30,0,0,55,30,0,95,0,0,0,20,20,"1,760",295,175,0,745,10,0,0,10,455,10,0,80,45,35,100,"2,740",0,0,"1,495",795,200,0,205,15,10,0,0,10,20,40,75,10,0,30,40,90,50,30,0,0,0,0,0
Edenbridge-Humber Valley,0,"1,795",185,155,0,35,"2,025",20,150,"1,915",0,0,0,0,10,595,0,"11,825","4,195",0,0,"2,280","1,970",0,150,320,790,0,0,0,785,"1,400",95,0,10,285,10,0,980,0,80,0,295,35,70,15,85,70,20,"3,595",120,525,20,110,10,40,270,45,55,25,"1,150",185,475,135,"1,555",30,"4,740",270,70,0,250,0,215,"2,590",0,115,195,0,300,0,60,390,35,0,0,120,0,85,0,10,30,20,35,0,0,45,10,30,0,295,10,0,0,0,0,0,75,15,35,20,825,75,20,0,60,60,55,235,0,85,20,25,25,0,20,0,110,40,10,0,30,65,0,10,15,535,100,0,10,10,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,45,0,0,0,0,50,0,0,0,0,0,295,0,0,0,0,0,15,50,0,0,0,0,20,0,0,145,25,0,0,0,10,10,0,30,95,30,65,"1,885",400,15,55,50,0,0,0,0,90,0,10,15,10,10,0,0,0,0,85,10,0,0,20,0,0,75,0,0,0,0,0,400,0,0,0,330,0,0,0,0,45,35,0,15,0,0,20,"1,105",0,0,470,220,120,0,270,0,0,0,0,0,0,0,65,0,0,0,0,30,20,0,10,10,0,0,0
Eglinton East,0,965,325,285,0,55,"2,700",10,115,"2,590",0,30,0,0,0,305,0,"5,100","2,540",0,0,"1,445",945,0,90,175,465,0,0,0,470,535,35,0,15,110,0,0,385,0,10,0,30,0,30,0,0,20,0,615,0,"2,875",10,0,10,10,115,10,0,0,200,105,55,45,150,0,"2,005",70,0,0,30,20,490,435,0,230,10,0,85,0,10,445,0,0,30,35,10,20,0,0,20,0,110,0,35,35,15,95,165,"1,450",30,0,0,0,40,25,370,145,565,85,945,10,0,0,0,0,35,55,0,55,15,615,25,0,0,0,10,15,25,0,0,40,0,0,55,"1,980",420,0,30,0,0,90,0,30,10,0,0,30,70,0,15,20,20,0,0,60,0,15,0,0,0,40,0,0,140,10,0,0,0,40,0,35,55,15,35,805,0,0,0,60,0,120,315,10,30,0,0,40,0,0,195,35,10,0,20,0,10,0,20,625,210,405,"11,815",895,430,75,30,0,0,55,45,105,0,10,10,10,0,0,0,0,0,15,25,0,0,55,0,0,40,0,0,0,0,65,"6,440",170,225,0,"2,860",30,0,0,250,210,25,45,"2,185",15,910,310,"4,490",30,0,"1,230","3,110",90,0,45,0,50,0,0,10,0,0,110,45,0,95,95,60,25,0,10,30,0,0,0
Elms-Old Rexdale,0,565,85,65,0,25,"1,175",0,80,"1,100",0,10,0,0,0,275,0,"3,270","1,210",0,0,650,505,20,35,80,325,0,0,0,330,340,0,0,10,110,0,0,210,0,10,0,55,0,35,0,0,0,0,520,0,"1,275",0,10,10,0,70,0,10,0,250,0,75,0,150,0,"1,620",50,0,0,40,0,85,880,0,0,55,0,25,0,20,225,25,0,10,25,0,10,0,0,15,0,35,0,0,10,40,85,20,725,10,0,0,0,60,0,160,35,125,40,"1,000",10,75,0,20,35,95,105,10,120,40,125,0,15,0,0,25,10,30,0,55,210,25,0,55,"2,025",485,10,0,0,0,0,0,20,20,0,0,0,200,0,15,30,10,0,0,175,0,0,0,0,0,65,0,0,20,0,0,0,0,10,0,0,10,0,0,"1,175",0,0,0,0,0,10,170,0,50,0,0,0,0,0,"1,015",10,0,0,10,0,0,0,20,375,20,365,"2,485",440,285,35,0,50,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,45,870,55,25,0,570,10,0,0,0,90,15,10,85,0,30,35,"1,180",0,55,190,570,15,0,105,0,0,0,0,10,10,0,285,0,0,25,25,0,0,0,0,0,0,0,0
Englemount-Lawrence,0,720,110,100,0,20,"3,195",20,830,"2,595",0,0,0,0,0,700,0,"12,475","2,190",0,0,"1,215",690,0,85,270,410,0,0,0,410,"1,650",295,0,35,205,0,0,"1,150",0,125,0,155,10,30,0,75,50,10,"6,540",10,"1,315",65,215,160,10,"1,480",75,455,45,"3,665",730,"2,010",90,560,335,"2,860",135,10,0,55,20,215,"1,195",0,20,0,15,110,0,35,535,10,0,10,"2,065",0,"1,830",0,0,250,20,25,0,0,70,20,85,25,810,0,0,0,20,25,0,115,30,95,95,840,45,40,0,0,40,35,140,0,40,40,120,20,10,15,0,75,15,10,0,55,70,25,20,145,"1,645",240,0,15,10,0,0,0,20,0,0,0,40,85,0,0,0,0,0,0,55,0,0,10,0,0,10,10,0,245,15,0,0,0,25,10,140,10,15,20,885,10,0,0,0,0,70,165,20,15,0,0,75,0,0,405,150,0,0,0,0,10,20,45,300,45,265,"6,685","1,235",120,45,55,0,0,45,0,100,0,10,630,0,0,0,0,0,0,50,20,0,0,15,0,0,85,0,0,0,55,40,470,0,0,0,365,10,0,0,0,30,10,0,35,20,10,25,"5,045",0,0,675,"4,090",35,0,190,25,30,25,10,30,45,0,115,0,0,10,10,10,10,10,0,0,0,0,0
Eringate-Centennial-West Deane,0,"1,830",265,185,0,75,"2,835",10,120,"2,715",0,10,10,0,0,930,10,"13,055","4,595",10,0,"2,685","2,000",0,295,375,825,0,0,0,810,"1,370",125,0,25,250,0,0,"1,040",0,45,15,240,45,25,20,65,75,15,"4,010",105,600,0,105,0,20,260,65,95,25,"1,480",240,580,115,"1,560",65,"5,320",160,190,0,290,20,335,"2,135",0,165,190,0,865,10,55,405,75,0,15,130,20,30,20,30,25,0,10,25,0,25,10,10,0,315,10,0,20,0,20,0,45,20,100,15,715,0,40,0,0,80,85,170,10,30,15,60,40,0,0,0,30,0,15,0,25,55,40,20,10,760,45,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,80,0,0,10,0,80,0,0,0,0,0,445,0,0,0,0,0,0,0,0,40,0,10,0,0,0,395,0,0,0,10,0,0,10,20,180,20,150,"3,815",540,10,25,60,10,20,40,0,135,0,40,0,0,0,0,0,0,0,80,25,0,30,10,0,10,50,40,0,0,0,45,"1,340",55,15,0,925,10,0,0,0,200,0,10,155,10,80,30,"2,015",0,0,970,510,115,0,395,10,15,0,10,35,10,0,170,0,0,30,30,10,20,0,0,0,0,0,0
Etobicoke West Mall,0,920,120,95,0,30,"1,240",0,65,"1,200",0,0,0,0,0,505,0,"6,720","2,190",0,0,"1,295",910,0,95,105,370,0,0,0,370,645,75,0,0,95,0,0,490,0,25,0,60,20,20,0,10,15,10,"2,110",100,600,20,35,0,10,125,10,55,15,795,70,335,35,875,0,"2,715",260,60,0,165,10,135,740,15,55,80,30,580,0,80,245,30,0,0,55,10,20,15,0,15,0,60,0,0,100,50,0,10,245,10,0,0,0,0,0,80,15,85,10,455,10,25,0,0,25,30,55,10,110,0,50,0,0,0,0,50,0,20,0,0,35,30,10,40,460,105,0,20,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,35,0,0,0,0,25,0,0,10,0,0,190,0,0,0,0,0,10,0,0,10,0,0,0,0,0,170,0,0,0,0,0,0,0,0,145,25,120,"3,560",785,190,15,40,30,0,15,0,10,0,25,0,25,10,90,0,0,0,95,55,0,0,35,0,10,140,0,10,40,0,15,"1,220",95,0,0,620,30,0,15,10,245,0,20,190,10,40,120,"1,580",10,0,475,715,40,0,295,0,0,0,0,20,0,40,125,0,0,20,25,10,10,0,10,0,0,0,0
Flemingdon Park,0,515,100,75,0,30,"1,345",25,75,"1,250",0,0,20,0,0,170,0,"4,695","1,340",0,0,790,490,0,40,120,315,0,0,0,325,460,45,0,0,120,0,0,305,0,30,0,50,25,10,0,0,0,0,"1,490",90,880,0,85,0,0,105,20,0,0,215,145,240,565,210,10,"1,750",30,15,0,45,30,830,95,0,75,10,0,150,0,10,425,20,0,15,280,0,45,215,0,10,0,90,0,0,45,20,50,40,410,0,0,0,0,15,0,100,25,75,85,545,30,0,0,0,20,10,130,0,15,0,130,10,0,0,0,60,30,0,0,30,65,0,0,30,"2,055",360,0,20,0,0,10,0,145,0,0,0,0,40,40,0,10,0,10,0,50,0,0,35,0,0,15,10,0,280,40,0,0,0,100,0,105,55,15,0,"1,140",10,0,0,25,0,280,410,20,50,0,0,0,10,0,210,20,20,0,25,10,15,0,80,325,30,320,"14,665","3,310","1,855",140,90,20,40,10,85,405,0,10,10,10,15,45,10,0,0,105,55,70,0,35,65,10,280,30,95,15,35,40,"7,460",360,165,20,"4,420",0,95,0,20,"1,370",60,25,630,25,235,455,"4,150",30,0,"1,285","2,370",80,0,225,15,80,0,0,0,30,25,115,75,0,40,45,25,25,0,0,0,0,0,0
Forest Hill North,0,835,125,100,20,25,"1,900",10,230,"1,735",10,15,0,10,0,210,0,"8,720","2,105",10,10,"1,215",820,0,80,215,535,0,0,0,535,880,210,0,0,110,0,0,575,0,0,0,150,15,70,0,35,60,0,"4,800",55,435,75,90,25,30,470,75,300,10,"2,700",655,"2,085",35,465,170,"1,830",345,25,0,55,15,140,475,15,35,10,0,170,0,15,490,0,0,0,"1,335",0,"1,200",0,15,130,10,30,0,0,80,0,40,0,180,10,0,0,0,10,0,55,0,30,10,460,10,25,0,0,25,15,100,10,55,15,45,10,10,0,0,70,0,10,0,10,20,15,40,40,510,55,0,0,0,0,0,0,10,0,0,0,20,0,0,0,10,0,0,0,15,0,0,20,0,0,0,0,0,130,10,0,20,0,15,0,85,0,0,10,175,0,0,0,0,0,10,35,0,10,0,0,0,0,0,0,90,10,10,10,0,0,0,10,145,20,135,"3,270",890,35,30,55,0,0,0,0,135,0,35,275,0,20,55,0,0,0,35,20,0,0,60,0,25,135,0,0,0,25,10,265,15,0,0,200,0,0,0,0,15,10,0,20,0,0,25,"2,125",0,0,385,"1,580",105,0,120,0,10,15,0,0,0,0,0,0,0,30,30,45,25,0,10,0,0,0,10
Forest Hill South,0,"1,205",115,100,0,10,"2,160",10,260,"1,995",0,0,0,0,0,135,0,"8,240","2,980",0,0,"1,510","1,170",0,175,325,695,10,0,0,690,"1,280",330,0,15,135,15,0,835,0,35,0,205,45,0,10,50,75,25,"4,150",50,250,60,110,35,25,330,50,295,10,"2,325",435,"1,740",35,380,235,"1,240",25,0,0,80,0,135,445,0,30,55,0,160,10,30,275,25,0,0,980,10,865,0,0,110,0,10,0,0,45,0,0,0,135,0,0,0,10,0,0,35,0,10,20,205,15,0,0,0,0,25,30,0,20,10,20,0,0,0,0,30,0,0,0,0,25,0,0,0,280,20,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,115,10,0,0,0,20,0,65,10,10,0,70,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,65,0,0,0,0,0,0,10,80,20,70,"1,880",545,15,10,25,0,10,0,0,155,0,50,125,0,0,0,0,0,0,80,10,0,0,40,0,0,55,0,0,0,10,10,280,0,0,0,230,0,0,0,10,20,20,0,0,10,20,10,"1,085",0,20,560,405,45,0,60,10,10,10,0,10,10,10,20,10,0,0,0,15,15,0,0,0,0,0,0
Glenfield-Jane Heights,0,465,155,110,0,40,"1,930",0,105,"1,850",0,0,0,10,0,700,0,"8,395","1,635",0,0,955,495,0,20,95,455,0,0,0,450,350,20,0,0,55,0,0,285,0,10,0,20,0,0,0,0,10,0,550,0,"4,815",0,40,0,0,60,15,0,0,225,35,70,25,115,0,"6,245",0,0,0,25,15,150,"4,310",0,15,20,0,45,0,25,"1,265",20,10,30,110,0,45,10,15,45,0,75,0,10,60,290,185,65,"2,870",60,0,0,10,145,0,225,330,730,150,"4,025",60,195,0,10,35,225,150,35,880,130,"1,010",90,55,15,0,220,60,10,0,220,690,50,0,225,"3,425","1,595",30,0,35,0,45,0,45,10,0,0,0,605,15,25,0,0,15,0,730,0,0,50,10,0,55,45,0,50,0,0,0,0,0,0,0,40,0,15,780,10,0,0,0,0,85,175,0,35,0,0,0,0,0,380,20,65,0,35,0,0,0,50,"1,065",140,925,"11,120","1,095",365,45,45,155,15,0,0,10,0,300,0,0,0,0,0,0,0,60,15,55,0,15,0,0,90,0,0,0,0,20,"2,600",45,20,0,"1,965",0,25,0,0,80,40,30,270,0,70,90,"7,520",0,855,"2,260","1,675",30,10,10,65,0,0,0,20,60,0,"3,585",10,10,60,60,20,0,0,20,10,0,0,0
Greenwood-Coxwell,0,"2,635",365,260,0,115,"3,200",15,310,"2,970",0,10,20,0,25,275,0,"8,520","5,995",0,0,"3,415","2,965",0,250,525,"1,455",0,0,0,"1,460","1,915",110,10,55,455,0,0,"1,330",10,80,0,310,80,60,30,75,55,30,"1,525",10,630,10,60,10,55,175,55,25,0,665,120,235,45,410,30,"1,915",20,30,0,65,20,300,840,0,95,20,10,60,10,0,270,20,10,0,185,0,135,15,0,30,10,115,0,0,40,0,20,0,295,30,0,0,10,10,15,80,0,55,45,500,15,30,10,0,10,60,30,0,20,15,100,0,0,0,0,35,25,10,10,0,20,10,30,40,640,150,0,0,0,0,10,0,70,0,0,0,0,45,0,0,0,0,10,0,20,0,0,0,15,0,0,15,0,50,0,10,0,0,35,0,10,0,0,10,240,0,0,0,0,0,30,160,0,0,0,0,0,0,0,15,40,0,0,10,0,0,0,10,220,40,180,"4,490",360,90,35,45,0,0,0,0,85,0,0,25,0,0,0,0,0,0,50,10,20,0,0,0,0,25,0,0,0,0,0,"1,125",10,35,0,630,0,0,0,90,245,25,0,90,20,15,20,"3,080",20,0,"2,365",345,150,0,90,0,10,0,0,20,30,10,240,10,10,15,15,60,30,10,25,0,0,0,15
Guildwood,0,"1,975",140,110,0,20,"1,905",0,140,"1,770",0,0,0,0,15,235,0,"6,635","4,455",0,0,"2,600","1,985",0,235,350,735,0,0,0,725,"1,210",105,0,40,205,0,0,935,0,65,0,195,75,70,0,30,45,10,"1,025",25,605,0,60,0,65,65,20,20,0,385,70,130,40,320,20,"1,365",15,0,0,25,0,235,545,0,115,30,0,50,0,10,195,20,0,0,25,0,10,0,0,10,10,55,0,0,10,0,20,20,270,0,0,0,0,0,0,115,0,55,80,295,10,15,0,0,0,0,25,0,0,10,120,0,0,0,0,105,10,0,0,0,0,0,0,15,225,40,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,20,0,0,0,0,0,25,0,0,15,0,0,0,0,0,10,0,0,0,0,60,0,10,0,0,0,0,25,0,10,0,0,0,0,0,0,15,0,0,10,0,0,0,0,110,50,55,"2,285",225,30,0,10,0,0,10,0,45,0,10,0,0,0,0,0,0,0,85,0,0,0,30,0,0,10,0,0,0,0,10,970,75,95,0,660,0,0,0,0,70,0,0,60,0,10,40,"1,125",0,15,420,505,110,0,50,0,0,0,0,0,0,0,85,0,0,0,0,25,10,0,0,0,0,0,0
