lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc
43.6406456,-79.380939,650.0,0,70600,0,1,1,580000,0,0,0,0,1,0,0,0,0,0,0
43.7423346,-79.5386758,,5,29528,2,3,2,715000,0,0,0,0,0,0,0,0,0,1,0
43.7428606,-79.6001328,1300.0,1,31771,2,3,3,545000,0,0,0,0,0,1,0,0,0,0,0
43.778940999999996,-79.38991159999998,,4,52035,1,3,3,1400000,0,0,0,0,0,0,1,0,0,0,0
43.7590096,-79.58856850000002,1100.0,1,26548,1,2,2,395000,0,0,0,0,1,0,0,0,0,0,0
43.702254499999995,-79.3961571,,2,57039,0,4,3,1600100,0,0,0,0,0,0,1,0,0,0,0
43.6432542,-79.3924143,750.0,1,70600,0,2,1,760000,0,0,0,0,1,0,0,0,0,0,0
43.67402670000001,-79.43211029999998,,2,54460,0,3,3,1050000,0,0,0,0,0,0,0,0,0,1,0
43.758877500000004,-79.28041590000002,,3,31692,3,3,3,828000,0,0,0,0,0,0,1,0,0,0,0
43.651149200000006,-79.36798370000002,550.0,0,58915,0,1,1,510000,0,0,0,0,1,0,0,0,0,0,0
43.66758919999999,-79.49266109999998,,2,34059,1,2,2,630000,0,0,0,0,0,0,1,0,0,0,0
43.7322195,-79.24770799999997,,3,30974,0,3,1,680000,0,0,0,0,0,0,1,0,0,0,0
43.6657528,-79.3855792,750.0,1,56526,1,1,1,785000,0,0,0,0,1,0,0,0,0,0,0
43.76443889999999,-79.2885842,650.0,1,31692,0,1,1,368000,0,0,0,0,1,0,0,0,0,0,0
43.68820510000001,-79.468869,,1,33316,0,2,3,704000,0,0,0,0,0,0,1,0,0,0,0
43.673850099999996,-79.4258779,,1,54460,0,3,2,901000,1,0,0,0,0,0,0,0,0,0,0
43.75385989999999,-79.38648509999999,,10,100516,0,5,6,4690000,0,0,0,0,0,0,1,0,0,0,0
43.636292600000004,-79.47046279999998,750.0,1,71204,1,1,1,535000,0,0,0,0,1,0,0,0,0,0,0
43.64178130000001,-79.4234261,250.0,0,45737,0,1,1,408000,0,0,0,0,1,0,0,0,0,0,0
43.798613,-79.31472609999999,1100.0,1,31826,1,3,1,365000,0,0,0,0,1,0,0,0,0,0,0
43.7912268,-79.3610271,1100.0,1,37379,0,3,4,598000,0,0,0,0,0,1,0,0,0,0,0
43.7404659,-79.42457490000002,750.0,1,123077,1,1,1,437000,0,0,0,0,1,0,0,0,0,0,0
43.6801738,-79.4318203,650.0,0,54460,1,1,2,589000,0,0,0,0,1,0,0,0,0,0,0
43.8116065,-79.3524462,,4,40442,1,3,2,731000,0,0,0,0,0,0,0,0,0,1,0
43.789378,-79.3412137,,3,36346,3,3,3,916000,0,0,0,0,0,0,0,0,0,1,0
43.684862,-79.31968069999998,,2,55225,1,3,3,1110000,0,0,0,0,0,0,0,0,0,1,0
43.7046359,-79.5057795,,3,32997,1,3,2,750000,0,0,0,0,0,0,1,0,0,0,0
43.7153835,-79.4545483,550.0,0,38527,0,1,1,499900,0,0,0,0,1,0,0,0,0,0,0
43.6419035,-79.37911299999998,250.0,0,70600,0,1,1,540000,0,0,0,0,1,0,0,0,0,0,0
43.6597958,-79.54877509999999,1300.0,3,99055,0,3,2,865000,0,0,0,0,0,0,1,0,0,0,0
43.79251439999999,-79.4001203,,2,45212,1,4,5,2164000,0,0,0,0,0,0,1,0,0,0,0
43.6688403,-79.3185567,1750.0,1,46206,2,3,3,1215000,0,0,0,0,0,0,1,0,0,0,0
43.6977974,-79.44724839999998,,1,34768,2,3,4,830000,0,0,0,0,0,0,1,0,0,0,0
43.6952016,-79.55669999999998,1100.0,1,36674,0,3,2,340000,0,0,0,0,1,0,0,0,0,0,0
43.7930194,-79.2116515,,2,32291,1,3,4,900000,0,0,0,0,0,0,1,0,0,0,0
43.745088,-79.5589172,1750.0,4,29528,3,4,5,790000,0,0,0,0,0,0,0,0,0,1,0
43.717713,-79.5482912,,2,32012,1,3,3,770000,0,0,0,0,0,0,1,0,0,0,0
43.7772704,-79.33683020000002,1100.0,2,36346,0,3,2,450017,0,0,0,0,1,0,0,0,0,0,0
43.60927239999999,-79.557008,650.0,1,52787,1,1,1,481000,0,0,0,0,1,0,0,0,0,0,0
43.7653269,-79.3823073,950.0,2,52035,0,2,2,665000,0,0,0,0,1,0,0,0,0,0,0
43.6460983,-79.37605490000001,650.0,0,70600,0,1,1,680000,0,0,0,1,0,0,0,0,0,0,0
43.639712700000004,-79.38342399999998,550.0,0,70600,0,1,1,547000,0,0,0,0,1,0,0,0,0,0,0
43.62341470000001,-79.51665620000001,550.0,1,52787,0,1,1,430000,0,0,0,0,1,0,0,0,0,0,0
43.6814635,-79.3242582,,0,46206,1,2,2,820000,0,0,0,0,0,0,0,0,0,1,0
43.6398029,-79.4147526,750.0,1,70623,0,2,1,645000,0,0,0,0,1,0,0,0,0,0,0
43.81672639999999,-79.22230429999998,,2,29573,1,3,4,755000,0,0,0,0,0,0,0,0,0,1,0
43.6789026,-79.29899700000001,550.0,1,54324,0,1,1,470500,0,0,0,0,1,0,0,0,0,0,0
43.81704660000001,-79.264625,,5,30414,0,3,4,740000,0,0,0,0,0,0,0,1,0,0,0
43.64114770000001,-79.43927699999998,1750.0,2,50580,1,3,2,936000,1,0,0,0,0,0,0,0,0,0,0
43.736912200000006,-79.41601399999998,,3,123077,0,4,5,2775000,0,0,0,0,0,0,1,0,0,0,0
