lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc,neighbourhood,geometry,within_500_m,within_1_km,within_500_1km
43.766785999999996,-79.50313670000001,2250.0,2,29958,4,4,5,780000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1388898.147050278 14386622.64225897),166,247,81
43.766814399999994,-79.50323159999998,2750.0,2,29958,3,7,7,1027700,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1388889.718041841 14386621.38138367),163,247,84
43.7668351,-79.4967628,2250.0,2,29958,2,4,5,817000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1389410.322814957 14386489.78636643),163,245,82
43.766999,-79.49852299999998,,2,29958,2,4,6,925000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389263.987040622 14386506.75114287),202,245,43
43.7671575,-79.5015647,2750.0,2,29958,3,6,8,1150000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389014.554290438 14386549.92525307),211,246,35
43.76729520000001,-79.499234,,2,29958,3,7,11,899000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389198.534064497 14386488.03331769),216,245,29
43.7672972,-79.50359089999998,,2,29958,2,4,4,782000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1388847.456994969 14386574.88676954),154,247,93
43.767471,-79.50038359999998,2250.0,2,29958,2,6,5,750000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1389101.065852046 14386491.46659548),220,246,26
43.767751200000006,-79.4989542,2250.0,2,29958,3,3,7,842000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1389208.499293799 14386431.74542896),203,245,42
43.7685564,-79.497067,2250.0,2,29958,0,9,8,810000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1389338.332251815 14386304.50446858),155,244,89
43.7685701,-79.4997286,,2,29958,2,5,6,1069000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389123.522675506 14386356.18415303),199,245,46
43.768825299999996,-79.4981796,,2,29958,3,6,6,827000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1389241.278427242 14386296.85067331),169,245,76
43.7505992,-79.46502699999998,850.0,1,29958,0,2,2,555000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,550.0,1,29958,0,1,1,460000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,750.0,1,29958,1,1,1,458000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,550.0,1,29958,0,1,1,419000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,750.0,1,29958,1,1,2,491000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,650.0,1,29958,1,1,1,495000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,750.0,1,29958,1,1,1,501000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,1300.0,1,29958,1,2,3,655000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7511249,-79.46590599999998,650.0,1,29958,1,1,1,465000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392330.419554553 14387618.99444582),21,38,17
43.7511249,-79.46590599999998,1300.0,1,29958,1,2,2,677000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392330.419554553 14387618.99444582),21,38,17
43.7511249,-79.46590599999998,650.0,1,29958,1,1,1,449100,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392330.419554553 14387618.99444582),21,38,17
43.7511249,-79.46590599999998,750.0,1,29958,1,1,2,467000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392330.419554553 14387618.99444582),21,38,17
